c_oficina,d_CP,d_ciudad
71411,71411,Villa Sola de Vega
71501,71501,Heroica Ciudad de Ejutla de Crespo
71501,71501,
71511,71511,
71511,71511,Ocotl�n de Morelos
71601,71601,Santiago Pinotepa Nacional
71601,71601,
71601,71601,San Juan Bautista Lo de Soto
71611,71611,
71611,71611,San Juan Cacahuatepec
71701,71701,Santiago Jamiltepec
71701,71701,
71811,71811,
71811,71811,R�o Grande o Piedra Parada
71832,71832,R�o Grande o Piedra Parada
71832,71832,
71902,71902,
71981,71981,
71981,71981,Puerto Escondido
71981,71981,San Pedro Mixtepec Distrito 22
72091,72091,Heroica Puebla de Zaragoza
72261,72261,Heroica Puebla de Zaragoza
72261,72261,
72431,72431,Heroica Puebla de Zaragoza
72471,72471,Heroica Puebla de Zaragoza
72471,72471,
72761,72761,
72761,72761,Cuautlancingo
72761,72761,San Pedro Cholula
72761,72761,San Andr�s Cholula
72981,72981,Amozoc
72981,72981,
73041,73041,
73081,73081,
73081,73081,Xicotepec
73102,73102,
73171,73171,
73171,73171,Huauchinango
73179,73179,
73291,73291,
73311,73311,
73311,73311,Zacatl�n
73561,73561,
73582,73582,
73682,73682,
73701,73701,
73781,73781,
73801,73801,Teziutl�n
73801,73801,
73901,73901,
74001,74001,San Mart�n Texmelucan de Labastida
74001,74001,
74101,74101,
74164,74164,
74231,74231,
74231,74231,Atlixco
74401,74401,
74401,74401,Iz�car de Matamoros
74583,74583,
74731,74731,
74791,74791,
74801,74801,
74901,74901,
74948,74948,
74948,74948,Acatl�n de Osorio
75001,75001,
75041,75041,
75111,75111,
75152,75152,
75161,75161,
75201,75201,Tepeaca
75201,75201,
75481,75481,
75481,75481,Tecamachalco
75521,75521,
75521,75521,Ciudad Serd�n
75682,75682,
75701,75701,
75701,75701,Tehuac�n
75911,75911,
76022,76022,Santiago de Quer�taro
76061,76061,
76132,76132,Santiago de Quer�taro
76132,76132,
76201,76201,Santiago de Quer�taro
76201,76201,
76222,76222,
76271,76271,
76301,76301,
76343,76343,
76451,76451,
76511,76511,
76601,76601,
76652,76652,
76701,76701,
76751,76751,
76811,76811,San Juan del Rio
76811,76811,
76852,76852,
76901,76901,El Pueblito
76901,76901,
76959,76959,
77001,77001,Chetumal
77001,77001,
77201,77201,
77201,77201,Felipe Carrillo Puerto
77301,77301,Kantunilk�n
77301,77301,
77401,77401,Isla Mujeres
77501,77501,
77501,77501,Canc�n
77581,77581,
77601,77601,Cozumel
77601,77601,
77711,77711,Playa del Carmen
77711,77711,
77732,77732,
77761,77761,
77891,77891,
77931,77931,
77931,77931,Bacalar
77982,77982,
78001,78001,San Luis Potos�
78001,78001,
78001,78001,Soledad de Graciano S�nchez
78141,78141,San Luis Potos�
78141,78141,
78211,78211,San Luis Potos�
78211,78211,
78343,78343,San Luis Potos�
78343,78343,
78343,78343,Villa de Pozos
78343,78343,Soledad de Graciano S�nchez
78422,78422,
78422,78422,Villa de Pozos
78431,78431,Soledad de Graciano S�nchez
78431,78431,
78482,78482,
78521,78521,
78521,78521,Cedral
78541,78541,
78591,78591,
78591,78591,Charcas
78621,78621,
78621,78621,Salinas de Hidalgo
78701,78701,Matehuala
78701,78701,
79001,79001,Ciudad Valles
79001,79001,
79001,79001,Tamasopo
79163,79163,�bano
79163,79163,
79201,79201,Tamu�n
79201,79201,
79311,79311,El Naranjo
79311,79311,
79321,79321,Ciudad del Ma�z
79321,79321,
79381,79381,
79381,79381,C�rdenas
79402,79402,
79402,79402,Cerritos
79501,79501,Villa de Reyes
79501,79501,
79561,79561,Santa Mar�a del R�o
79561,79561,
79561,79561,Tierra Nueva
79611,79611,
79611,79611,Rioverde
79611,79611,Fracci�n el Refugio
79741,79741,
79801,79801,
79862,79862,
79902,79902,
79961,79961,
79961,79961,Tamazunchale
80001,80001,Culiac�n Rosales
80001,80001,
80011,80011,Culiac�n Rosales
80011,80011,
80021,80021,Culiac�n Rosales
80307,80307,Culiac�n Rosales
80307,80307,
80321,80321,Navolato
80321,80321,
80379,80379,Licenciado Benito Ju�rez (Campo Gobierno)
80379,80379,
80401,80401,Quil�
80401,80401,
80456,80456,
80701,80701,Cosal�
80701,80701,
80801,80801,Mocorito
80801,80801,
81001,81001,Guasave
81001,81001,
81111,81111,
81125,81125,
81126,81126,
81145,81145,
81146,81146,
81201,81201,Los Mochis
81201,81201,
81201,81201,San Blas
81301,81301,
81313,81313,
81313,81313,Ahome
81331,81331,
81331,81331,Higuera de Zaragoza
81342,81342,
81371,81371,Topolobampo
81371,81371,
81402,81402,Guam�chil
81402,81402,
81601,81601,
81601,81601,Angostura
81701,81701,Choix
81701,81701,
81821,81821,
81911,81911,
81911,81911,Sinaloa de Leyva
81982,81982,
81982,81982,Estaci�n Naranjo
82001,82001,
82001,82001,Mazatl�n
82181,82181,Mazatl�n
82181,82181,
82181,82181,Villa Uni�n
82401,82401,Escuinapa de Hidalgo
82401,82401,
82561,82561,
82602,82602,
82701,82701,La Cruz
82701,82701,
82801,82801,El Rosario
82801,82801,
82911,82911,
82911,82911,San Ignacio
83101,83101,Hermosillo
83101,83101,
83131,83131,Hermosillo
83131,83131,
83181,83181,Hermosillo
83191,83191,Hermosillo
83191,83191,
83241,83241,Hermosillo
83241,83241,
83291,83291,Hermosillo
83291,83291,
83341,83341,
83345,83345,
83401,83401,San Luis R�o Colorado
83401,83401,
83551,83551,Puerto Pe�asco
83551,83551,
83571,83571,Sonoyta
83571,83571,
83601,83601,Heroica Caborca
83601,83601,
84001,84001,Heroica Nogales
84001,84001,
84121,84121,
84162,84162,Magdalena de Kino
84162,84162,
84181,84181,
84201,84201,Agua Prieta
84201,84201,
84331,84331,
84341,84341,
84461,84461,
84501,84501,
84531,84531,
84561,84561,
84604,84604,
84621,84621,Heroica Ciudad de Cananea
84621,84621,
84642,84642,
84861,84861,
84881,84881,
84901,84901,
84921,84921,
84941,84941,
85001,85001,Ciudad Obreg�n
85001,85001,
85111,85111,Ciudad Obreg�n
85111,85111,
85201,85201,
85211,85211,
85282,85282,
85291,85291,
85301,85301,Empalme
85301,85301,
85401,85401,Heroica Guaymas
85401,85401,
85504,85504,
85517,85517,
85601,85601,
85763,85763,
85801,85801,
85801,85801,Navojoa
85901,85901,
85901,85901,Huatabampo
86012,86012,Villahermosa
86012,86012,
86021,86021,Villahermosa
86021,86021,
86031,86031,Villahermosa
86031,86031,
86202,86202,Jalpa de M�ndez
86202,86202,
86301,86301,Comalcalco
86301,86301,
86401,86401,Huimanguillo
86401,86401,
86419,86419,
86501,86501,
86501,86501,C�rdenas
86604,86604,
86604,86604,Para�so
86691,86691,
86691,86691,Cunduac�n
86705,86705,
86705,86705,Macuspana
86721,86721,
86751,86751,Frontera
86751,86751,
86784,86784,
86804,86804,Teapa
86804,86804,
86903,86903,Tenosique de Pino Su�rez
86903,86903,
86939,86939,
86991,86991,
86991,86991,Emiliano Zapata
87001,87001,Ciudad Victoria
87001,87001,
87001,87001,Jaumave
87351,87351,Heroica Matamoros
87351,87351,
87501,87501,Valle Hermoso
87501,87501,
87601,87601,San Fernando
87601,87601,
87671,87671,
87671,87671,Soto la Marina
87901,87901,Ciudad Tula
87901,87901,
88002,88002,
88002,88002,Nuevo Laredo
88301,88301,Ciudad Miguel Alem�n
88301,88301,
88371,88371,Nueva Ciudad Guerrero
88371,88371,
88401,88401,Ciudad Gustavo D�az Ordaz
88401,88401,
88441,88441,Ciudad Camargo
88441,88441,
88501,88501,Reynosa
88501,88501,
88901,88901,
88901,88901,Ciudad R�o Bravo
89001,89001,Tampico
89001,89001,
89401,89401,Ciudad Madero
89601,89601,Altamira
89601,89601,
89671,89671,
89711,89711,
89711,89711,Gonz�lez
89733,89733,Estaci�n Manuel (�rsulo Galv�n)
89733,89733,
89754,89754,
89754,89754,Xicot�ncatl
89801,89801,
89801,89801,Ciudad Mante
90001,90001,Tlaxcala de Xicoht�ncatl
90001,90001,
90201,90201,Calpulalpan
90201,90201,
90252,90252,
90301,90301,Apizaco
90301,90301,
90451,90451,
90461,90461,
90501,90501,Huamantla
90501,90501,
90601,90601,
90671,90671,
90711,90711,
90741,90741,
90781,90781,
90792,90792,
90801,90801,Chiautempan
90801,90801,
90901,90901,
90901,90901,Villa Vicente Guerrero
91002,91002,Xalapa-Enr�quez
91002,91002,
91242,91242,
91272,91272,Perote
91272,91272,
91301,91301,Banderilla
91301,91301,
91331,91331,
91371,91371,
91401,91401,
91442,91442,
91461,91461,
91483,91483,
91501,91501,Coatepec
91501,91501,
91616,91616,
91631,91631,
91641,91641,
91662,91662,
91671,91671,
91671,91671,Paso de Ovejas
91681,91681,
91681,91681,Jos� Cardel
91705,91705,
91705,91705,Veracruz
91707,91707,Veracruz
92031,92031,
92031,92031,Tampico Alto
92121,92121,
92121,92121,Tantoyuca
92121,92121,Plat�n S�nchez
92301,92301,
92301,92301,Naranjos
92511,92511,
92511,92511,Cerro Azul
92601,92601,Huayacocotla
92601,92601,
92682,92682,
92709,92709,
92731,92731,
92731,92731,�lamo
92801,92801,
92801,92801,T�xpam de Rodr�guez Cano
92931,92931,
92931,92931,Tihuatl�n
92981,92981,
92981,92981,Cazones de Herrera
93261,93261,
93261,93261,Coatzintla
93261,93261,Poza Rica de Hidalgo
93401,93401,
93401,93401,Papantla de Olarte
93555,93555,
93555,93555,Guti�rrez Zamora
93601,93601,Mart�nez de la Torre
93601,93601,
93601,93601,San Rafael
93651,93651,Tlapacoyan
93651,93651,
93701,93701,
93701,93701,Altotonga
93801,93801,
93821,93821,
93911,93911,
93911,93911,Yecuatla
93951,93951,
93961,93961,
93981,93981,
93991,93991,
93991,93991,Tempoal de S�nchez
93991,93991,El Higo
93991,93991,P�nuco
94101,94101,
94101,94101,Huatusco de Chicuellar
94141,94141,
94181,94181,
94241,94241,Soledad de Doblado
94241,94241,
94252,94252,
94272,94272,
94292,94292,Veracruz
94292,94292,
94292,94292,Boca del R�o
94301,94301,
94301,94301,Orizaba
94301,94301,Ixtaczoquitl�n
94471,94471,
94471,94471,Fort�n de las Flores
94501,94501,
94501,94501,C�rdoba
94721,94721,Nogales
94721,94721,
94731,94731,
94731,94731,R�o Blanco
94731,94731,Huiloapan de Cuauht�moc
94911,94911,
94911,94911,Cuitl�huac
94931,94931,
94962,94962,Atoyac
94962,94962,
94963,94963,Paraje Nuevo
94963,94963,General Miguel Alem�n (Potrero Nuevo)
94963,94963,
94971,94971,
94971,94971,Paso del Macho
95001,95001,
95101,95101,Tierra Blanca
95101,95101,
95221,95221,
95222,95222,
95241,95241,
95262,95262,
95271,95271,
95271,95271,Alvarado
95282,95282,Lerdo de Tejada
95282,95282,
95301,95301,Tres Valles
95301,95301,
95331,95331,Carlos A. Carrillo
95331,95331,
95401,95401,Cosamaloapan
95401,95401,
95401,95401,Tlacojalpan
95481,95481,
95581,95581,
95601,95601,Playa Vicente
95601,95601,
95641,95641,
95641,95641,Isla
95691,95691,
95691,95691,Juan Rodr�guez Clara
95701,95701,San Andr�s Tuxtla
95701,95701,
95701,95701,Sihuapan
95701,95701,Catemaco
95831,95831,Santiago Tuxtla
95831,95831,
95841,95841,
95841,95841,�ngel R. Cabada
95851,95851,Juan D�az Covarrubias
95851,95851,
95981,95981,
96001,96001,Acayucan
96001,96001,
96121,96121,
96201,96201,
96201,96201,J�ltipan de Morelos
96351,96351,
96351,96351,Cosoleacaque
96361,96361,
96371,96371,Cuichapa
96371,96371,
96401,96401,
96401,96401,Coatzacoalcos
96601,96601,
96601,96601,Agua Dulce
96701,96701,
96701,96701,Minatitl�n
96951,96951,
96981,96981,
96981,96981,Las Choapas
96997,96997,
97002,97002,M�rida
97002,97002,
97101,97101,M�rida
97101,97101,
97111,97111,M�rida
97111,97111,
97141,97141,M�rida
97161,97161,M�rida
97161,97161,
97201,97201,M�rida
97201,97201,
97212,97212,M�rida
97221,97221,M�rida
97221,97221,
97261,97261,M�rida
97261,97261,
97323,97323,Progreso
97323,97323,
97351,97351,
97371,97371,Kanas�n
97371,97371,
97391,97391,
97431,97431,
97431,97431,Motul de Carrillo Puerto
97471,97471,
97541,97541,
97642,97642,
97701,97701,
97701,97701,Tizim�n
97781,97781,
97781,97781,Valladolid
97801,97801,
97841,97841,
97861,97861,
97861,97861,Ticul
97881,97881,
97931,97931,
97972,97972,
98001,98001,Zacatecas
98001,98001,
98061,98061,Zacatecas
98102,98102,
98201,98201,
98301,98301,
98301,98301,Juan Aldama
98352,98352,
98421,98421,
98421,98421,R�o Grande
98431,98431,Villa de Cos
98501,98501,
98501,98501,V�ctor Rosales
98601,98601,
98601,98601,Guadalupe
98711,98711,
98711,98711,Ciudad Cuauht�moc
98711,98711,Ojocaliente
98771,98771,Luis Moya
98771,98771,
98831,98831,
98831,98831,Loreto
98923,98923,
98923,98923,Villa Hidalgo
99001,99001,
99001,99001,Fresnillo
99101,99101,Sombrerete
99101,99101,
99131,99131,
99251,99251,
99251,99251,Valpara�so
99261,99261,
99301,99301,Jerez de Garc�a Salinas
99301,99301,
99401,99401,
99541,99541,
99541,99541,Villanueva
99601,99601,
99601,99601,Jalpa
99701,99701,
99751,99751,
99801,99801,
99901,99901,Nochistl�n de Mej�a
99901,99901,
99922,99922,
99961,99961,
99961,99961,Moyahua de Estrada
